species_name,latitude_centroid_from_roll_et_al_2017,insular_endemic,maximum_svl,female_svl,activity_time,smallest_clutch,largest_clutch
Ablepharus_bivittatus,34.16,no,61,56.5,Diurnal,2,5
Ablepharus_budaki,36.44,no,48,36.8,Diurnal,2,5
Ablepharus_chernovi,38.32,no,54,44.4,Diurnal,3,4
Ablepharus_darvazi,38.96,no,44,NA,Diurnal,NA,NA
Ablepharus_deserti,41.38,no,58.8,46,Diurnal,1,8
Ablepharus_grayanus,27.09,no,34.9,NA,Diurnal,1,2
Ablepharus_kitaibelii,41.11,no,58,43.4,Diurnal,2,6
Ablepharus_lindbergi,34.28,no,50,NA,Diurnal,4,5
Ablepharus_pannonicus,33.16,no,55,NA,Diurnal,2,6
Ablepharus_rueppellii,31.39,no,52,35.3,Diurnal,1,6
Abronia_anzuetoi,14.44,no,135,100,Diurnal,NA,NA
Abronia_aurita,14.79,no,125,111,Diurnal,12,12
Abronia_bogerti,16.78,no,94,87,Diurnal,NA,NA
Abronia_campbelli,14.71,no,127,114,Diurnal,4,12
Abronia_chiszari,18.38,no,105,96,Diurnal,NA,NA
Abronia_cuetzpali,16.16,no,115,114,Diurnal,NA,NA
Abronia_deppii,19.01,no,121,63,Diurnal,6,6
Abronia_fimbriata,15.21,no,130,101.5,Diurnal,4,4
Abronia_frosti,15.93,no,110,94.8,Diurnal,NA,NA
Abronia_fuscolabialis,17.3,no,118,NA,NA,NA,NA
Abronia_gaiophantasma,15.21,no,110,71,Diurnal,NA,NA
Abronia_graminea,18.76,no,110.7,104.8,Diurnal,1,12
Abronia_leurolepis,16.45,no,105,105,NA,NA,NA
Abronia_lythrochila,16.03,no,120,NA,Diurnal,1,18
Abronia_martindelcampoi,17.57,no,115,NA,NA,2,6
Abronia_matudai,15.11,no,110,88,Diurnal,NA,NA
Abronia_meledona,14.54,no,120,107.5,Diurnal,12,16
Abronia_mitchelli,17.56,no,105,105,NA,NA,NA
Abronia_mixteca,17.21,no,148,NA,Diurnal,7,7
Abronia_montecristoi,14.85,no,93,NA,NA,NA,NA
Abronia_oaxacae,16.8,no,117,NA,Diurnal,1,1
Abronia_ochoterenai,16.35,no,113.5,108.8,Diurnal,13,13
Abronia_ornelasi,16.68,no,97,71,Diurnal,NA,NA
Abronia_ramirezi,16.33,no,93,93,Diurnal,NA,NA
Abronia_reidi,18.56,no,100,NA,Diurnal,NA,NA
Abronia_salvadorensis,14.17,no,94,NA,Diurnal,NA,NA
Abronia_smithi,15.59,no,110,99,Diurnal,3,4
Abronia_taeniata,21.72,no,138,94.5,NA,3,10
Abronia_vasconcelosii,14.88,no,120,110.2,Diurnal,NA,NA
Acanthocercus_adramitanus,16.2,no,157,NA,Diurnal,4,12
Acanthocercus_annectans,9.11,no,152,132,Diurnal,NA,NA
Acanthocercus_atricollis,-9.53,no,171,113.9,Diurnal,1,17
Acanthocercus_branchi,-15.33,no,155,106,Diurnal,NA,NA
Acanthocercus_cyanogaster,-0.37,no,167,90.5,Diurnal,3,13
Acanthocercus_guentherpetersi,15.2,no,102,76.5,NA,NA,NA
Acanthocercus_phillipsii,10.32,no,112,64.3,NA,NA,NA
Acanthocercus_yemensis,15.76,no,136,95,Diurnal,NA,NA
Acanthodactylus_aegyptius,28.83,no,52,41,Diurnal,2,3
Acanthodactylus_ahmaddisii,31.5,no,78.5,NA,Diurnal,NA,NA
Acanthodactylus_arabicus,14.49,no,77,49.5,Diurnal,NA,NA
Acanthodactylus_aureus,23.68,no,70.4,50,Diurnal,NA,NA
Acanthodactylus_bedriagai,34.86,no,77,NA,Diurnal,3,7
Acanthodactylus_beershebensis,31.17,no,90,64.9,Diurnal,3,8
Acanthodactylus_blanci,35.45,no,95,79.5,Diurnal,5,5
Acanthodactylus_blanfordii,28.67,no,75,52.7,Diurnal,2,6
Acanthodactylus_boskianus,23.35,no,95,60.1,Diurnal,1,8
Acanthodactylus_boueti,8.29,no,63,56.6,NA,NA,NA
Acanthodactylus_busacki,27.55,no,73.6,NA,Diurnal,NA,NA
Acanthodactylus_cantoris,28.15,no,94,48,Diurnal,1,10
Acanthodactylus_dumerilii,26.76,no,68,49.3,Diurnal,1,2
Acanthodactylus_erythrurus,37.24,no,84,68.6,Diurnal,1,8
Acanthodactylus_felicis,14.99,no,65,NA,Diurnal,NA,NA
Acanthodactylus_gongrorhynchatus,24.4,no,65,46.3,Diurnal,NA,NA
Acanthodactylus_grandis,32.14,no,103,85.8,Diurnal,NA,NA
Acanthodactylus_guineensis,10.22,no,60,48,Diurnal,NA,NA
Acanthodactylus_haasi,26.15,no,65,NA,Diurnal,NA,NA
Acanthodactylus_hardyi,29.37,no,52,47.5,Diurnal,2,3
Acanthodactylus_harranensis,36.56,no,94.8,NA,Diurnal,NA,NA
Acanthodactylus_khamirensis,26.95,no,48.4,46.9,Diurnal,NA,NA
Acanthodactylus_longipes,23.63,no,65,46.7,Diurnal,2,3
Acanthodactylus_maculatus,32.67,no,62,57,Diurnal,2,4
Acanthodactylus_margaritae,30.28,no,71,60.2,Diurnal,NA,NA
Acanthodactylus_masirae,18.43,no,52,NA,Diurnal,NA,NA
Acanthodactylus_micropholis,27.99,no,65,61.5,Diurnal,2,4
Acanthodactylus_nilsoni,33.47,no,74.5,NA,Diurnal,NA,NA
Acanthodactylus_opheodurus,23.87,no,62.2,58,Diurnal,4,4
Acanthodactylus_orientalis,34.5,no,75,NA,Diurnal,NA,NA
Acanthodactylus_pardalis,31.05,no,77,61,Diurnal,2,7
Acanthodactylus_robustus,33.4,no,77.2,NA,Diurnal,NA,NA
Acanthodactylus_savignyi,36,no,75,52,Diurnal,4,6
Acanthodactylus_schmidti,24.26,no,105,NA,Diurnal,1,4
Acanthodactylus_schreiberi,35.05,yes,93,69.4,Diurnal,1,8
Acanthodactylus_scutellatus,23.81,no,85,52.6,Diurnal,1,6
Acanthodactylus_senegalensis,17.92,no,60,NA,Diurnal,NA,NA
Acanthodactylus_spinicauda,32.8,no,56,52,Diurnal,4,4
Acanthodactylus_taghitensis,24.3,no,55,NA,Diurnal,NA,NA
Acanthodactylus_tilburyi,26.89,no,65,56.3,Diurnal,NA,NA
Acanthodactylus_tristrami,32.97,no,95,75.5,Diurnal,4,4
Acanthodactylus_yemenicus,14.66,no,55.5,NA,Diurnal,NA,NA
Acanthosaura_armata,5.31,no,140,123,Diurnal,8,21
Acanthosaura_bintangensis,4.86,no,142,142,Diurnal,NA,NA
Acanthosaura_brachypoda,22.21,no,117,117,Diurnal,NA,NA
Acanthosaura_capra,11.95,no,140,125.9,Diurnal,19,20
Acanthosaura_cardamomensis,11.9,no,149.4,124.9,Cathemeral,18,23
Acanthosaura_coronata,12.22,no,90,90,Diurnal,NA,NA
Acanthosaura_crucigera,15.13,no,155,136.5,Diurnal,8,20
Acanthosaura_lepidogaster,20.2,no,111,90.4,Diurnal,5,22
Acanthosaura_nataliae,15.04,no,158,136.1,Diurnal,10,16
Acanthosaura_phuketensis,8.25,no,123.5,110.1,Diurnal,NA,NA
Acanthosaura_titiwangsaensis,3.92,no,150.1,131.4,Diurnal,NA,NA
Acontias_aurantiacus,-24.68,no,213,155,NA,NA,NA
Acontias_bicolor,-18.43,no,207,NA,NA,NA,NA
Acontias_breviceps,-28.82,no,199,NA,NA,2,3
Acontias_cregoi,-23.36,no,160,NA,NA,NA,NA
Acontias_gariepensis,-26.61,no,140,121.5,Nocturnal,1,1
Acontias_gracilicauda,-29.08,no,260,178.9,NA,2,2
Acontias_jappi,-14.9,no,188,NA,NA,4,4
Acontias_kgalagadi,-23.3,no,185,133.5,Nocturnal,1,3
Acontias_lineatus,-29.47,no,150,141.7,NA,1,3
Acontias_litoralis,-30.45,no,125.9,106.9,NA,1,2
Acontias_meleagris,-33.26,no,295,162.4,Cathemeral,2,4
Acontias_namaquensis,-29.52,no,201.5,NA,NA,2,3
Acontias_occidentalis,-21.86,no,230,NA,NA,NA,NA
Acontias_orientalis,-33.34,no,206,182,NA,NA,NA
Acontias_percivali,-3.72,no,257,190.5,NA,1,3
Acontias_plumbeus,-24.62,no,500,348.8,Cathemeral,2,14
Acontias_poecilus,-30.83,no,382,NA,NA,NA,NA
Acontias_richardi,-23.01,no,133.5,NA,NA,2,2
Acontias_rieppeli,-23.63,no,185,169.5,NA,2,2
Acontias_schmitzi,-15.95,no,175.5,NA,NA,NA,NA
Acontias_tristis,-29.55,no,140,NA,NA,NA,NA
Acratosaura_mentalis,-12.34,no,59,52.5,Diurnal,1,2
Acratosaura_spinosa,-13.12,no,53,53,NA,NA,NA
Adercosaurus_vixadnexus,5.77,no,55,NA,NA,NA,NA
Adolfus_africanus,-0.71,no,67,58.7,Diurnal,NA,NA
Adolfus_alleni,0.42,no,70,NA,Diurnal,2,2
Adolfus_jacksoni,-0.47,no,90,68.6,Diurnal,2,5
Adolfus_masavaensis,0.8,no,55.5,51.8,Diurnal,NA,NA
Aeluroscalabotes_felinus,2.79,no,122,109.9,Nocturnal,1,2
Afroedura_africana,-24.25,no,64,56,Diurnal,2,2
Afroedura_amatolica,-32.72,no,60,NA,NA,2,2
Afroedura_bogerti,-14.75,no,50,NA,Nocturnal,NA,NA
Afroedura_broadleyi,-22.99,no,56,45.9,Nocturnal,2,2
Afroedura_gorongosa,-18.53,no,61.2,59,NA,2,2
Afroedura_granitica,-24.07,no,58,52.8,NA,NA,NA
Afroedura_haackei,-25.45,no,52,NA,NA,NA,NA
Afroedura_halli,-30.59,no,64.2,NA,Nocturnal,2,2
Afroedura_hawequensis,-33.7,no,83,NA,Diurnal,2,2
Afroedura_karroica,-32.04,no,64,51.5,Nocturnal,2,2
Afroedura_langi,-24.2,no,46,41.3,NA,2,2
Afroedura_leoloensis,-24.74,no,40.5,38.8,NA,2,2
Afroedura_loveridgei,-16.78,no,59,NA,NA,2,2
Afroedura_major,-26.28,no,76,NA,Diurnal,2,2
Afroedura_maripi,-24.17,no,63,56.7,NA,2,2
Afroedura_marleyi,-26.97,no,36,NA,NA,2,2
Afroedura_multiporis,-24.92,no,67,NA,NA,NA,NA
Afroedura_namaquensis,-29.63,no,56,56,NA,NA,NA
Afroedura_nivaria,-29.02,no,66,NA,NA,2,2
Afroedura_pienaari,-22.82,no,53,40.8,Nocturnal,2,2
Afroedura_pondolia,-29.55,no,58,NA,Diurnal,2,2
Afroedura_pongola,-27.38,no,40,38,NA,NA,NA
Afroedura_rondavelica,-24.57,no,55,NA,NA,NA,NA
Afroedura_rupestris,-24.41,no,62,54.7,NA,NA,NA
Afroedura_tembulica,-31.94,no,57,53.5,NA,NA,NA
Afroedura_tirasensis,-25.76,no,55,55,NA,NA,NA
Afroedura_transvaalica,-19.66,no,73,62,NA,1,2
Afroedura_waterbergensis,-23.85,no,46,44.4,NA,NA,NA
Afrogecko_ansorgii,-14.95,no,45,45,Nocturnal,NA,NA
Afrogecko_porphyreus,-33.25,no,51,51,Nocturnal,1,2
Agama_aculeata,-18.89,no,118,85.4,Diurnal,8,18
Agama_africana,7.95,no,120,NA,Diurnal,7,8
Agama_agama,6.77,no,150,89.8,Diurnal,3,24
Agama_anchietae,-23.9,no,140,92,Diurnal,10,12
Agama_armata,-13.48,no,94,85.5,Diurnal,9,20
Agama_atra,-29.38,no,140,87.6,Diurnal,7,18
Agama_bocourti,13.32,no,80,NA,NA,NA,NA
Agama_boensis,12.39,no,81,NA,Diurnal,7,8
Agama_bottegi,2.31,no,120,NA,NA,NA,NA
Agama_boueti,16.73,no,110,88.2,Diurnal,5,12
Agama_boulengeri,17.59,no,140,NA,Diurnal,NA,NA
Agama_caudospinosa,-0.06,no,165,121.6,Diurnal,7,8
Agama_cristata,12.07,no,130,NA,Diurnal,NA,NA
Agama_doriae,9.44,no,115,74.6,Diurnal,7,8
Agama_etoshae,-18.61,no,85,NA,Diurnal,7,12
Agama_finchi,5.16,no,118.2,NA,Diurnal,NA,NA
Agama_gracilimembris,9.75,no,57.6,52.8,Diurnal,NA,NA
Agama_hartmanni,15.7,no,92,NA,Diurnal,NA,NA
Agama_hispida,-29.84,no,134,98.7,Diurnal,4,20
Agama_hulbertorum,-1.58,no,84.9,NA,Diurnal,NA,NA
Agama_impalearis,28.65,no,134,103.2,Diurnal,5,23
Agama_insularis,10.36,no,123,70,NA,NA,NA
Agama_kaimosae,-1.68,no,144,NA,Diurnal,7,8
Agama_kirkii,-17.17,no,115,79.4,Diurnal,10,10
Agama_knobeli,-27.35,no,140,NA,Diurnal,17,18
Agama_lanzai,10.91,no,102.5,NA,Diurnal,NA,NA
Agama_lebretoni,4.02,no,142,119.5,Diurnal,NA,NA
Agama_lionotus,-2.38,no,145,95.9,Diurnal,5,12
Agama_lucyae,7.27,no,58.5,58.5,NA,5,5
Agama_montana,-6.16,no,94,NA,Diurnal,6,10
Agama_mossambica,-13.39,no,120,101.9,Diurnal,5,14
Agama_mucosoensis,-9.34,no,126,NA,NA,NA,NA
Agama_mwanzae,-3.29,no,160,103.1,Diurnal,7,8
Agama_parafricana,8.27,no,101,82,Diurnal,NA,NA
Agama_paragama,8.97,no,110,NA,Diurnal,NA,NA
Agama_persimilis,5.27,no,64,60,Diurnal,NA,NA
Agama_planiceps,-18.61,no,148,89.4,Diurnal,4,13
Agama_robecchii,8.54,no,137,NA,Diurnal,NA,NA
Agama_rueppelli,4.33,no,95,72.5,Diurnal,NA,NA
Agama_sankaranica,10.42,no,85,NA,Diurnal,NA,NA
Agama_somalica,10.8,no,102.8,NA,Diurnal,NA,NA
Agama_spinosa,13.88,no,126,NA,Diurnal,7,8
Agama_sylvana,5.16,no,105,85,Diurnal,6,6
Agama_tassiliensis,21.86,no,134,96.8,Diurnal,NA,NA
Agama_turuensis,-4.6,no,140,NA,NA,7,8
Agama_weidholzi,12.62,no,65,59.5,Diurnal,10,10
Agamodon_anguliceps,1.9,no,200,NA,NA,NA,NA
Agamodon_arabicus,13.38,no,150,NA,NA,NA,NA
Agamodon_compressus,3,no,103,NA,NA,NA,NA
Agamura_persica,30.99,no,77,59.5,Nocturnal,2,2
Ailuronyx_seychellensis,-4.57,yes,116,94.1,Nocturnal,1,2
Ailuronyx_tachyscopaeus,-4.57,yes,85,68.9,Nocturnal,1,2
Ailuronyx_trachygaster,-4.38,yes,172,159,Cathemeral,NA,NA
Alexandresaurus_camacan,-14.06,no,70,58,NA,NA,NA
Algyroides_fitzingeri,40.65,yes,45,33.1,Diurnal,1,4
Algyroides_marchi,38.31,no,53,47.7,Diurnal,1,5
Algyroides_moreoticus,37.53,no,50.3,44.4,Diurnal,1,8
Algyroides_nigropunctatus,41.86,no,70,58.4,Diurnal,2,8
Alinea_lanceolata,13.07,yes,93.8,NA,NA,7,7
Alinea_luciae,13.89,yes,109,NA,NA,NA,NA
Alopoglossus_angulatus,-4.02,no,64,56.3,Diurnal,1,2
Alopoglossus_atriventris,-5.25,no,55,48,Diurnal,2,2
Alopoglossus_buckleyi,-4.5,no,62.3,56,Diurnal,2,2
Alopoglossus_copii,-1.54,no,80,60.8,Diurnal,2,2
Alopoglossus_embera,3.46,no,55.3,50,NA,NA,NA
Alopoglossus_festae,-0.44,no,64.5,NA,Diurnal,NA,NA
Alopoglossus_lehmanni,4,no,33.3,NA,Diurnal,NA,NA
Alopoglossus_viridiceps,0.07,no,64.1,NA,Diurnal,NA,NA
Alsophylax_laevis,38.51,no,37.8,33.1,Nocturnal,1,2
Alsophylax_loricatus,40.92,no,32.8,28.4,Nocturnal,1,2
Alsophylax_pipiens,45.71,no,41.6,33.7,Nocturnal,1,2
Alsophylax_przewalskii,39.54,no,35.6,30.9,Nocturnal,1,2
Alsophylax_szczerbaki,41.22,no,32.8,27.9,Cathemeral,1,2
Alsophylax_tadjikiensis,37.72,no,31,28.2,Nocturnal,1,2
Altiphylax_baturensis,35.37,no,58.5,50.6,Nocturnal,2,2
Altiphylax_levitoni,34.57,no,44.9,37.9,Nocturnal,1,2
Altiphylax_mintoni,34.13,no,40,38.4,Nocturnal,NA,NA
Altiphylax_stoliczkai,36.88,no,55,43.4,Nocturnal,NA,NA
Altiphylax_tokobajevi,41.06,no,49.5,40.8,Nocturnal,1,2
Amalosia_jacovae,-26.11,no,61.6,52.4,Nocturnal,2,2
Amalosia_lesueurii,-31.45,no,80,63.7,Nocturnal,2,2
Amalosia_obscura,-15.83,no,62,NA,Nocturnal,NA,NA
Amalosia_rhombifer,-17.4,no,80,48,Nocturnal,2,2
Amapasaurus_tetradactylus,1.14,no,36,28.5,Diurnal,2,2
Amblyrhynchus_cristatus,-0.55,yes,560,320,Diurnal,1,6
Ameiva_aggerecusans,-6.66,no,99.3,NA,Diurnal,NA,NA
Ameiva_ameiva,-8.34,no,210,118.9,Diurnal,1,11
Ameiva_atrigularis,10.34,no,190,NA,Diurnal,4,5
Ameiva_bifrontata,3.23,no,128,89,Diurnal,1,3
Ameiva_concolor,-7.62,no,128,NA,Diurnal,1,2
Ameiva_fuliginosa,13.76,yes,105,NA,Diurnal,NA,NA
Ameiva_jacuba,-18.37,no,106,102,NA,3,3
Ameiva_nodam,-5.68,no,101,NA,Diurnal,NA,NA
Ameiva_pantherina,9.12,no,152,NA,Diurnal,NA,NA
Ameiva_parecis,-12.48,no,90,79.3,Diurnal,1,2
Ameiva_praesignis,9.44,no,243,136,Diurnal,4,5
Ameiva_provitaae,8.48,no,135,94.5,Diurnal,NA,NA
Ameiva_reticulata,-12.23,no,149.1,NA,Diurnal,NA,NA
Ameivula_abalosi,-25.38,no,71.6,58.5,NA,NA,NA
Ameivula_apipensis,-19.29,no,63.3,NA,Diurnal,NA,NA
Ameivula_cipoensis,-19.25,no,71.3,63.2,Diurnal,NA,NA
Ameivula_confusioniba,-9.21,no,76.5,67.6,Diurnal,NA,NA
Ameivula_jalapensis,-10.89,no,58,51.3,Diurnal,1,1
Ameivula_mumbuca,-13.24,no,59,53.2,Diurnal,1,1
Ameivula_nativo,-17.16,no,69.5,56.1,NA,1,4
Ameivula_nigrigula,-11.59,no,90.1,62.9,Diurnal,NA,NA
Ameivula_ocellifera,-14.54,no,120,62.5,Diurnal,1,5
Ameivula_pyrrhogularis,-4.83,no,89,NA,Diurnal,NA,NA
Ameivula_xacriaba,-15.07,no,70.2,NA,NA,NA,NA
Amphibolurus_burnsi,-26.76,no,135,NA,Diurnal,4,11
Amphibolurus_centralis,-23.36,no,103,NA,Diurnal,NA,NA
Amphibolurus_muricatus,-31.67,no,125,90.7,Diurnal,3,12
Amphibolurus_norrisi,-33.48,no,117,92.9,Diurnal,3,8
Amphiglossus_astrolabi,-20.08,yes,226,191,Diurnal,10,10
Amphiglossus_reticulatus,-15.51,yes,220,NA,Nocturnal,3,3
Amphisbaena_absaberi,-16.17,no,242,240.5,NA,NA,NA
Amphisbaena_acrobeles,-10.6,no,NA,NA,NA,NA,NA
Amphisbaena_alba,-12.29,no,810,534.3,Cathemeral,6,16
Amphisbaena_albocingulata,-23.1,no,138,NA,NA,NA,NA
Amphisbaena_anaemariae,-15.43,no,179,NA,NA,NA,NA
Amphisbaena_angustifrons,-28.79,no,345,NA,NA,2,3
Amphisbaena_anomala,-1.72,no,273,NA,Diurnal,NA,NA
Amphisbaena_arda,-10.82,no,285,NA,NA,NA,NA
Amphisbaena_arenaria,-9.78,no,245,NA,NA,NA,NA
Amphisbaena_bahiana,-11.7,no,215,NA,NA,NA,NA
Amphisbaena_bakeri,18.23,yes,260,NA,NA,NA,NA
Amphisbaena_barbouri,22.71,yes,177,NA,NA,NA,NA
Amphisbaena_bedai,-18.42,no,290,NA,NA,NA,NA
Amphisbaena_bilabialata,-12.88,no,307,NA,NA,NA,NA
Amphisbaena_bolivica,-24.66,no,569,NA,NA,NA,NA
Amphisbaena_borelli,-19.16,no,193,NA,NA,NA,NA
Amphisbaena_brasiliana,-5.27,no,317,NA,NA,9,9
Amphisbaena_brevis,-14.96,no,137,NA,NA,NA,NA
Amphisbaena_caeca,18.24,yes,291,NA,NA,NA,NA
Amphisbaena_caiari,-9.26,no,157,NA,NA,NA,NA
Amphisbaena_camura,-24.35,no,535,NA,Nocturnal,NA,NA
Amphisbaena_carlgansi,19.86,yes,168,NA,NA,NA,NA
Amphisbaena_carli,-14.04,no,269,NA,NA,NA,NA
Amphisbaena_carvalhoi,-8.34,no,129,121,NA,NA,NA
Amphisbaena_caudalis,18.61,yes,269,NA,NA,NA,NA
Amphisbaena_cayemite,18.62,yes,220,NA,NA,NA,NA
Amphisbaena_cegei,-15.41,no,229,NA,NA,NA,NA
Amphisbaena_crisae,-11.83,no,149,NA,NA,NA,NA
Amphisbaena_cubana,20.73,yes,206,NA,NA,NA,NA
Amphisbaena_cuiabana,-14.91,no,316,212.6,NA,2,2
Amphisbaena_cunhai,-6.84,no,550,198.4,NA,NA,NA
Amphisbaena_darwinii,-29.46,no,360,NA,NA,2,8
Amphisbaena_dubia,-25.17,no,276,180,Nocturnal,3,4
Amphisbaena_fenestrata,18.39,yes,242,NA,NA,NA,NA
Amphisbaena_filiformis,-6.92,no,232,190,NA,NA,NA
Amphisbaena_frontalis,-9.62,no,284,NA,NA,NA,NA
Amphisbaena_fuliginosa,-4.33,no,500,415,Nocturnal,NA,NA
Amphisbaena_gonavensis,18.84,yes,210,NA,Nocturnal,NA,NA
Amphisbaena_gracilis,8.94,no,170,NA,NA,NA,NA
Amphisbaena_hastata,-10.97,no,152,NA,Diurnal,NA,NA
Amphisbaena_heathi,-5.49,no,136,115,NA,NA,NA
Amphisbaena_heterozonata,-28.93,no,280,NA,NA,NA,NA
Amphisbaena_hiata,-27.1,no,204,NA,NA,NA,NA
Amphisbaena_hogei,-24.42,no,130,NA,NA,NA,NA
Amphisbaena_hyporissor,17.89,yes,310,NA,Nocturnal,NA,NA
Amphisbaena_ibijara,-2.95,no,244.1,200,Nocturnal,NA,NA
Amphisbaena_ignatiana,-9.14,no,188,NA,NA,NA,NA
Amphisbaena_innocens,18.4,yes,268,NA,NA,2,4
Amphisbaena_kingii,-33.49,no,242,201.5,NA,2,4
Amphisbaena_kraoh,-10.84,no,305,NA,NA,NA,NA
Amphisbaena_leali,18.53,yes,254,NA,NA,NA,NA
Amphisbaena_leeseri,-18.7,no,156,NA,NA,NA,NA
Amphisbaena_leucocephala,-15.33,no,364,NA,NA,NA,NA
Amphisbaena_littoralis,-5.24,no,278,257.3,NA,NA,NA
Amphisbaena_lumbricalis,-11.52,no,201,NA,NA,NA,NA
Amphisbaena_manni,18.93,yes,212,NA,Nocturnal,NA,NA
Amphisbaena_maranhensis,-7.15,no,125,NA,NA,NA,NA
Amphisbaena_medemi,10.89,no,184,146.7,Nocturnal,NA,NA
Amphisbaena_mensae,-15.51,no,130,NA,NA,NA,NA
Amphisbaena_mertensii,-22.63,no,410,366.7,NA,6,8
Amphisbaena_metallurga,-18.9,no,179,162.7,NA,NA,NA
Amphisbaena_miringoera,-10.28,no,142,125.6,NA,NA,NA
Amphisbaena_mitchelli,-2.59,no,165,NA,NA,NA,NA
Amphisbaena_munoai,-31.32,no,172,130.4,NA,1,2
Amphisbaena_myersi,5.42,no,188,NA,NA,NA,NA
Amphisbaena_neglecta,-14.76,no,150,NA,NA,NA,NA
Amphisbaena_nigricauda,-16.66,no,168,123,NA,1,2
Amphisbaena_occidentalis,-6.74,no,262,195.5,NA,NA,NA
Amphisbaena_pericensis,-5.6,no,153,NA,Diurnal,NA,NA
Amphisbaena_persephone,-13.88,no,161,NA,NA,NA,NA
Amphisbaena_plumbea,-37.57,no,283,NA,NA,NA,NA
Amphisbaena_polygrammica,-11.07,no,227,NA,NA,NA,NA
Amphisbaena_pretrei,-9.83,no,462,NA,NA,NA,NA
Amphisbaena_prunicolor,-25.99,no,238,NA,NA,NA,NA
Amphisbaena_ridleyi,-3.86,yes,253,NA,NA,NA,NA
Amphisbaena_roberti,-20.65,no,268,231,NA,2,6
Amphisbaena_rozei,5.5,no,196,NA,NA,NA,NA
Amphisbaena_sanctaeritae,-21.7,no,165,165,NA,NA,NA
Amphisbaena_saxosa,-11.42,no,375,290,NA,NA,NA
Amphisbaena_schmidti,18.42,yes,240,NA,NA,NA,NA
Amphisbaena_silvestrii,-14.47,no,162,NA,NA,NA,NA
Amphisbaena_slateri,-12.59,no,139,NA,NA,NA,NA
Amphisbaena_slevini,-0.86,no,120,NA,Nocturnal,NA,NA
Amphisbaena_spurelli,6.54,no,320,NA,NA,NA,NA
Amphisbaena_steindachneri,-14.81,no,243,NA,NA,NA,NA
Amphisbaena_stejnegeri,6.45,no,265,NA,NA,NA,NA
Amphisbaena_supernumeraria,-8.55,no,195,NA,NA,NA,NA
Amphisbaena_talisiae,-15.82,no,105,NA,NA,NA,NA
Amphisbaena_townsendi,-4.66,no,252,202.5,NA,NA,NA
Amphisbaena_trachura,-27.18,no,350,216,NA,NA,NA
Amphisbaena_tragorrhectes,-1.77,no,110,NA,NA,NA,NA
Amphisbaena_uroxena,-13.16,no,163,NA,NA,NA,NA
Amphisbaena_vanzolinii,2.4,no,153,137,NA,NA,NA
Amphisbaena_vermicularis,-10.51,no,325,NA,NA,4,4
Amphisbaena_xera,18.06,yes,245,NA,NA,NA,NA
Anadia_altaserrania,10.68,no,76,NA,Diurnal,NA,NA
Anadia_antioquensis,6.74,no,89,NA,NA,NA,NA
Anadia_bitaeniata,8.52,no,87.8,NA,Diurnal,NA,NA
Anadia_blakei,9.98,no,91,NA,NA,NA,NA
Anadia_bogotensis,5.3,no,64.6,55,NA,2,3
Anadia_brevifrontalis,8.59,no,99.2,68.1,Diurnal,2,2
Anadia_bumanguesa,6.95,no,91.6,91.6,Diurnal,NA,NA
Anadia_escalerae,5.56,no,66.7,64.9,Diurnal,NA,NA
Anadia_hobarti,9.23,no,86.8,75.5,Diurnal,2,2
Anadia_marmorata,10.31,no,94.9,86.5,Diurnal,NA,NA
Anadia_ocellata,6.46,no,75,69,Diurnal,NA,NA
Anadia_pamplonensis,7.24,no,85,NA,NA,NA,NA
Anadia_pariaensis,10.67,no,87,NA,NA,NA,NA
Anadia_petersi,-2.38,no,74.3,60.5,NA,NA,NA
Anadia_pulchella,10.79,no,105.9,NA,NA,NA,NA
Anadia_rhombifera,2.61,no,68,57,Diurnal,1,2
Anadia_steyeri,10.83,no,82,75.3,Diurnal,NA,NA
Anadia_vittata,4.99,no,67,NA,Diurnal,NA,NA
Anatololacerta_anatolica,38.99,no,75,63.6,Diurnal,3,8
Anatololacerta_budaki,36.83,no,66,66,Diurnal,NA,NA
Anatololacerta_danfordi,37.2,no,75,59.3,Diurnal,5,6
Anatololacerta_pelasgiana,37.17,no,67,64,Diurnal,3,8
Ancylocranium_barkeri,-10.56,no,245,NA,NA,1,1
Ancylocranium_ionidesi,-9.48,no,328,NA,NA,1,1
Ancylocranium_somalicum,3.61,no,202,NA,NA,NA,NA
Andinosaura_afrania,6.38,no,84.6,NA,Diurnal,NA,NA
Andinosaura_aurea,-3.6,no,57.4,52,Diurnal,NA,NA
Andinosaura_crypta,-0.61,no,69,NA,NA,NA,NA
Andinosaura_hyposticta,-0.51,no,82,NA,NA,NA,NA
Andinosaura_kiziriani,-3.01,no,61,NA,Diurnal,NA,NA
Andinosaura_laevis,4.3,no,72,NA,NA,NA,NA
Andinosaura_oculata,-0.09,no,88,NA,Diurnal,2,3
Andinosaura_petrorum,-2.8,no,76,NA,NA,NA,NA
Andinosaura_stellae,1.14,no,50.1,NA,Diurnal,NA,NA
Andinosaura_vespertina,-3.79,no,68,64.5,Diurnal,2,2
Andinosaura_vieta,-1.3,no,52,NA,NA,NA,NA
Anelytropsis_papillosus,22.18,no,375,NA,NA,NA,NA
Anepischetosia_maccoyi,-37.33,no,59,51,Cathemeral,1,9
Anguis_cephallonica,37.53,no,286,207.8,Diurnal,6,15
Anguis_colchica,53.01,no,290,192.8,Diurnal,5,26
